Dam,Location,Capacity_Total,Capacity_Usable,Water_Stored,Water_Usable,Inflow,Outflow,Data_Time,Water_Type
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,715.06 (57%)","3,915.06 (29%)",18.46,5.04,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","4,917.02 (56%)","1,905.02 (22%)",14.69,14.02,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,086.3 (55%)",254.92 (13%),1.72,1.01,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,141.94 (54%),127.94 (49%),0.24,0.07,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,83.11 (54%),81.71 (53%),0.12,0.18,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","4,986.6 (52%)","2,136.6 (22%)",8.9,10,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,55.17 (50%),39.27 (36%),0.24,0.02,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,143.36 (49%),123.36 (42%),0.39,0.26,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,77.23 (47%),40.01 (24%),0.3,0,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,66.04 (47%),59.04 (42%),0.13,0.08,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,124.73 (45%),117.73 (43%),0.76,0.03,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,233.75 (45%),188.75 (36%),0.92,0.72,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,125.6 (42%),85.6 (29%),0.59,1.33,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",801.8 (40%),701.8 (35%),8.23,5.76,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.57 (40%),47.57 (30%),0,0,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,39.41 (37%),35.86 (34%),3.89,0.28,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",891.25 (37%),309.58 (13%),24.74,15.35,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,322.17 (34%),279.17 (30%),2.06,4.75,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,229.83 (32%),164.83 (23%),1.13,1.73,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.22 (31%),34.77 (29%),0.02,0,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,42.64 (31%),36.05 (27%),1.99,2.39,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,121.67 (31%),104.08 (27%),0.31,0.8,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,59.21 (26%),54.69 (24%),0.55,0.79,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,77.25 (26%),63 (21%),0.3,1.05,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,37.4 (23%),28.72 (17%),0,0.6,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,66.21 (21%),43.51 (14%),0.37,0.09,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,147.63 (15%),144.63 (15%),0,0.69,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,52.48 (13%),22.48 (5%),0.23,0.16,6/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,087.28 (75%)",811 (56%),4.53,10.04,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,117.87 (72%),104.37 (64%),0.84,0.69,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,765.56 (72%)","2,500.56 (14%)",8.51,7.98,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,509.12 (62%)","2,157.58 (38%)",8.2,5.12,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,161.94 (61%),149.75 (57%),0.18,0.88,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,68.68 (59%),56.62 (48%),0.55,0.33,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,98.63 (58%),92.43 (54%),0,1.82,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,721.35 (57%)","3,921.35 (29%)",12.22,5.02,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","4,906.1 (55%)","1,894.1 (21%)",6.45,14,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,084.3 (55%)",252.92 (13%),1.76,3.06,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,142.09 (54%),128.09 (49%),0.21,0.07,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,83.22 (54%),81.82 (53%),0.31,0.16,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","4,982.85 (52%)","2,132.85 (22%)",7.02,10,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,55.17 (50%),39.27 (36%),0.02,0.02,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,143.36 (49%),123.36 (42%),0.39,0.26,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,77.28 (47%),40.06 (24%),0.08,0,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,66.04 (47%),59.04 (42%),0.13,0.08,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,125.15 (46%),118.15 (43%),0.55,0.03,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,232.75 (45%),187.75 (36%),0,0.72,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,125 (42%),85 (28%),0.88,1.33,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,43.17 (41%),39.62 (37%),4.08,0.31,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",801.8 (40%),701.8 (35%),6.5,5.82,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.57 (40%),47.57 (30%),0,0,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",897.41 (37%),315.74 (13%),23.39,16.01,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,318.95 (34%),275.95 (29%),1.63,4.75,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,228.91 (32%),163.91 (23%),0.9,1.73,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.35 (32%),34.9 (29%),0.16,0,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,121.34 (31%),103.75 (27%),0.31,0.86,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,41.19 (30%),34.6 (26%),1.01,2.39,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,58.79 (26%),54.27 (24%),0.39,0.79,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,76.14 (26%),61.89 (21%),0,1.03,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,36.98 (22%),28.3 (17%),0,0.36,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,66.58 (21%),43.88 (14%),0.36,0.09,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,146.09 (15%),143.09 (15%),0,0.7,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,52.25 (12%),22.25 (5%),0,0.16,7/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,081.66 (74%)",805.38 (55%),4.62,10.1,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,118.41 (72%),104.91 (64%),1.12,0.63,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,758.76 (72%)","2,493.76 (14%)",1.63,8,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,529.46 (63%)","2,177.92 (39%)",25.78,5.05,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,161.24 (61%),149.05 (56%),0.18,0.88,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,69.01 (59%),56.95 (49%),0.62,0.29,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,719.25 (57%)","3,919.25 (29%)",10.76,12,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,96.81 (57%),90.61 (53%),0.08,1.9,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","4,900.65 (55%)","1,888.65 (21%)",9.17,13.98,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,080.31 (55%)",248.93 (13%),0,3.15,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,142.19 (54%),128.19 (49%),0.17,0.07,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,83.54 (54%),82.14 (53%),0.17,0.16,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","4,979.09 (52%)","2,129.09 (22%)",6.94,9.92,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,55.17 (50%),39.27 (36%),0.02,0.02,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,144.46 (49%),124.46 (42%),1.49,0.26,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,77.11 (47%),39.89 (24%),0,0,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,65.93 (47%),58.93 (42%),0.2,0.08,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,125.57 (46%),118.57 (43%),0.55,0.03,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,231.25 (44%),186.25 (36%),0,0.71,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,46.53 (44%),42.98 (40%),3.73,0.37,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,124.1 (42%),84.1 (28%),0.58,1.33,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",800 (40%),700 (35%),4.75,5.82,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.57 (40%),47.57 (30%),0,0,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",901.54 (37%),319.87 (13%),21.36,16.02,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,316.65 (34%),273.65 (29%),2.58,4.75,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,227.75 (32%),162.75 (23%),0.67,1.73,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.47 (32%),35.02 (29%),0.16,0,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,120.84 (31%),103.25 (26%),0.31,0.8,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,39.42 (29%),32.83 (24%),0.69,2.39,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,58.41 (26%),53.89 (24%),0.44,0.79,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,75.35 (26%),61.1 (21%),0.29,1.03,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,36.16 (22%),27.48 (17%),0,0.58,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,67.32 (21%),44.62 (14%),0.32,0.09,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,148.4 (15%),145.4 (15%),3.24,0.7,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,52.02 (12%),22.02 (5%),0,0.16,8/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,075.59 (74%)",799.31 (55%),4.19,10.12,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,118.23 (72%),104.73 (64%),0.41,0.64,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,751.96 (72%)","2,486.96 (14%)",4.73,7.97,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,541.7 (63%)","2,190.16 (39%)",16.29,3.68,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,160.54 (61%),148.35 (56%),0.18,0.88,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,69.12 (59%),57.06 (49%),0.4,0.29,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,719.25 (57%)","3,919.25 (29%)",12.95,12,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,94.99 (56%),88.79 (52%),0.07,1.89,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","4,895.2 (55%)","1,883.2 (21%)",9.31,14.12,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,082.3 (55%)",250.92 (13%),0,3.22,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,142.34 (54%),128.34 (49%),0.22,0.07,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,83.54 (54%),82.14 (53%),0.2,0.16,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","4,975.34 (52%)","2,125.34 (22%)",7.08,10.05,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,54.84 (50%),38.94 (35%),0.02,0.35,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,144.9 (49%),124.9 (42%),0.61,0.26,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,78.27 (48%),41.05 (25%),0.65,0,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,65.93 (47%),58.93 (42%),0.13,0.08,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,125.99 (46%),118.99 (43%),0.55,0.03,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,47.89 (45%),44.34 (42%),3.07,1.71,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,231.25 (44%),186.25 (36%),0.93,0.71,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,123.2 (41%),83.2 (28%),0.58,1.33,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",800 (40%),700 (35%),6.54,5.81,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.57 (40%),47.57 (30%),0,0,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",899.47 (37%),317.8 (13%),15.63,16.48,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,313.89 (33%),270.89 (29%),2.11,4.75,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,226.6 (32%),161.6 (23%),0.67,1.73,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.47 (32%),35.02 (29%),0.04,0,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,120.35 (31%),102.76 (26%),0.36,0.86,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,37 (27%),30.41 (22%),0.05,2.39,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,57.52 (26%),53 (24%),0.2,1.08,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,74.42 (25%),60.17 (20%),0.14,1.03,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,35.51 (22%),26.83 (16%),0.02,0.62,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,67.56 (21%),44.86 (14%),0.54,0.09,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,149.94 (16%),146.94 (15%),2.48,0.7,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,51.79 (12%),21.79 (5%),0,0.16,9/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,070 (74%)",793.72 (55%),4.59,10.04,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,117.87 (72%),104.37 (64%),0.16,0.57,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,751.96 (72%)","2,486.96 (14%)",10.54,7.99,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,549.87 (63%)","2,198.33 (39%)",13.59,5.03,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,159.84 (60%),147.65 (56%),0.18,0.88,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,69.23 (59%),57.17 (49%),0.39,0.28,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","7,715.06 (57%)","3,915.06 (29%)",8.7,12,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","4,887.04 (55%)","1,875.04 (21%)",6.54,14.06,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,078.32 (55%)",246.94 (13%),0,3.24,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,92.96 (55%),86.76 (51%),0,1.88,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,142.68 (54%),128.68 (49%),0.4,0.06,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,83.32 (54%),81.92 (53%),0,0.16,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","4,969.71 (52%)","2,119.71 (22%)",5.16,10.01,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,54.46 (50%),38.56 (35%),0.02,0.41,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,144.9 (49%),124.9 (42%),0.34,0.26,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,78.79 (48%),41.57 (25%),0.54,0,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,65.82 (47%),58.82 (42%),0.02,0.08,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,48.98 (46%),45.43 (43%),3.14,2.06,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,126.2 (46%),119.2 (43%),0.34,0.03,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,230.75 (44%),185.75 (36%),0.42,0.71,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,123.32 (41%),83.32 (28%),1.6,1.33,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",805.41 (41%),705.41 (36%),11.91,5.81,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,64.78 (40%),47.78 (30%),0.21,0,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",897.41 (37%),315.74 (13%),15.27,16.12,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,310.44 (33%),267.44 (28%),1.3,4.75,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.59 (32%),35.14 (29%),0.15,0,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,225.46 (32%),160.46 (23%),1.56,1.73,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,120.02 (31%),102.43 (26%),0.53,0.86,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,34.58 (26%),27.99 (21%),0.4,2.74,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,56.78 (25%),52.26 (23%),0.37,1.08,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,73.64 (25%),59.39 (20%),0.1,0.83,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,68.12 (22%),45.42 (14%),0.28,0.09,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,35.27 (21%),26.59 (16%),0.02,0.22,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,149.94 (16%),146.94 (15%),0.94,0.7,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,51.56 (12%),21.56 (5%),0,0.16,10/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,064.43 (73%)",788.15 (54%),4.59,10.01,11/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","12,748.56 (72%)","2,483.56 (14%)",7.12,8.02,11/6/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,117.5 (72%),104 (64%),0.12,0.54,11/6/2025,แหล่งน้ำขนาดใหญ่
