0,1,2,3,4,5,6,7,9,10,8,3_pct,4_pct,5_pct
ห้วยเคลิ้ม อ.เมือง,สกลนคร,1.5,1.05,0.94,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.68,0.0
ห้วยแม่งอน,ลำปาง,1.28,0.9,0.78,0.04,0.15,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.67,0.0
ห้วยหินขาว,สระบุรี,1.1,0.77,0.67,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.67,0.0
ห้วยทราย อ.น้ำโสม,อุดรธานี,2.288,1.59,1.34,0.0,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.69,0.66,0.0
ห้วยลำพอก,สุรินทร์,11.2,10.08,9.43,0.2,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.69,0.89,0.0
ห้วยมะโน,กาฬสินธุ์,5.815,4.01,3.41,0.12,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.69,0.65,0.0
อ่างแม่ไพร,ลำปาง,3.2,2.2,2.07,0.05,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.69,0.68,0.0
อ่างฯ ห้วยตะคองใหญ่ อ.บ้านผือ,อุดรธานี,0.0,5.78,5.48,0.02,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.69,0.0,0.0
ห้วยกะเลงเวก,สุรินทร์,3.4,2.33,1.93,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.64,0.0
อำปึล,สุรินทร์,27.675,18.86,17.43,0.11,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.66,0.0
แม่เมย,ลำพูน,3.6,2.45,2.43,0.03,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.73,0.0
ห้วยเรือ อ.เมือง,ร้อยเอ็ด,2.9,1.97,1.82,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.66,0.0
บางวาด,ภูเก็ต,10.2,6.91,6.64,0.08,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.67,0.0
ห้วยหินชะแนนใหญ่ อ.กุสุมาลย์,สกลนคร,12.5,8.47,8.29,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.67,0.0
ห้วยไร่2,มุกดาหาร,2.68,1.81,1.51,0.09,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.64,0.0
ห้วยจุมจัง,ร้อยเอ็ด,7.381,4.99,4.32,1.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.68,0.64,0.0
ห้วยแข้ อ.ภูพาน,กาฬสินธุ์,3.8,2.56,2.34,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.65,0.0
อ่างฯ คลองกะทะ,ภูเก็ต,0.0,2.79,2.63,0.02,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.0,0.0
ห้วยสำราญ,ศรีสะเกษ,12.35,8.32,7.02,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.64,0.0
หนองกก,นครราชสีมา,2.967,2.0,1.82,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.65,0.0
แม่ล้อหัก,ตาก,1.336,0.89,0.85,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.66,0.0
ห้วยสังเคียบ,กาฬสินธุ์,7.5,5.02,4.49,0.59,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.64,0.0
ห้วยอ่าง อ.เมือง,สกลนคร,0.0,1.0,0.88,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.0,0.0
ห้วยน้ำบอง,หนองบัวลำภู,20.8,13.9,11.72,0.23,0.17,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.63,0.0
ห้วยคำผักหนาม อ.บ้านม่วง,สกลนคร,2.91,1.94,1.5,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.61,0.0
ห้วยใหญ่,ขอนแก่น,1.255,0.93,0.56,0.04,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.64,0.0
แม่ต๊าก,เชียงราย,9.0,8.66,7.21,0.62,0.76,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.67,0.95,0.0
ห้วยเกี๋ยง,ลำปาง,11.6,7.71,7.11,0.09,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.65,0.0
ห้วยบังพวน อ.ท่าบ่อ,อุดรธานี,8.62,5.73,5.47,1.2,0.81,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.67,0.0
บางกำปรัด,กระบี่,16.0,10.6,9.1,0.19,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.67,0.0
ห้วยสะแบก,อำนาจเจริญ,30.3,20.04,19.43,0.29,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.65,0.0
ห้วยตลาด,บุรีรัมย์,27.82,20.4,17.46,0.08,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.65,0.0
ห้วยลิ้นควาย อ.นาด้วง,เลย,29.0,19.11,17.11,1.13,0.35,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.63,0.0
ห้วยหมากไฟ,มุกดาหาร,1.5,0.99,0.69,0.07,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.57,0.0
ห้วยแร้ง,ตราด,36.8,24.19,21.68,1.39,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.65,0.0
ห้วยยาง,สุพรรณบุรี,1.6,1.05,0.9,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.66,0.62,0.0
ห้วยแก้ว,สุรินทร์,4.919,3.22,2.78,0.0,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.65,0.62,0.0
แม่ฟ้า,ลำปาง,23.5,13.01,11.91,0.76,0.11,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.65,0.52,0.0
แม่ทะ,ลำปาง,2.54,1.65,1.41,0.22,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.65,0.61,0.0
ห้วยสมัย,แพร่,1.2,0.78,0.61,0.1,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.65,0.59,0.0
แม่ไฮ,ลำปาง,1.225,0.79,0.68,0.04,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.61,0.0
ลำตะเพิน,สุพรรณบุรี,50.0,32.18,27.38,0.02,0.13,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.61,0.0
อ่างฯ ห้วยน้ำม้า อ.บ้านผือ,อุดรธานี,0.0,3.45,3.17,0.0,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.0,0.0
แม่พริก,ลำปาง,4.2,2.68,2.28,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.6,0.0
บ้านจั่น อ.เมือง,อุดรธานี,4.38,2.78,2.77,0.0,0.27,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.63,0.0
หนองกลางดง,ชลบุรี,7.65,4.87,4.57,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.64,0.62,0.0
หนองกรองแก้ว,ขอนแก่น,13.589,8.61,4.3,0.01,0.17,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.46,0.0
บ้านดงน้อย,มุกดาหาร,5.2,3.29,3.04,0.05,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.61,0.0
ห้วยน้ำบ่อ อ.เมือง,สกลนคร,2.2,1.39,1.31,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.64,0.0
ช่องกล่ำล่าง,สระแก้ว,2.2,1.39,1.19,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.59,0.0
คลองใหญ่,ระยอง,45.465,25.14,22.14,0.25,0.34,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.52,0.0
ห้วยโพงตอนบน,ยโสธร,12.4,7.76,6.76,0.04,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.59,0.0
ห้วยเหล่ายาง อ.เมือง,หนองบัวลำภู,2.469,1.55,1.43,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.61,0.0
ห้วยขนุน,อุบลราชธานี,10.2,6.26,5.64,0.4,0.27,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.63,0.59,0.0
ห้วยหินชะแนน,นครพนม,2.4,1.5,1.37,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.62,0.6,0.0
ห้วยน้ำเขียว,กระบี่,7.3,4.52,4.37,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.62,0.61,0.0
ห้วยป่าเลา,เพชรบูรณ์,8.4,5.2,5.01,0.08,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.62,0.61,0.0
คลองพระพุทธ,จันทบุรี,70.51,43.59,42.6,0.0,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.62,0.61,0.0
อ่างฯ ห้วยไฮ,อุดรธานี,0.0,2.52,2.32,0.34,0.44,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.62,0.0,0.0
ห้วยฝา,กาฬสินธุ์,6.422,3.95,3.25,0.57,0.23,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.57,0.0
ห้วยท่าเดื่อ,สุพรรณบุรี,2.8,1.72,1.52,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.58,0.0
หนองช้างใหญ่,อุบลราชธานี,7.675,4.7,4.65,0.17,0.17,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.61,0.0
ห้วยศอก,เลย,0.0,6.1,5.99,0.2,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.0,0.0
อ่างฯ บ้านไบก์ อันเนื่องมาจากพระราชดำริ,ยะลา,0.0,0.73,0.7,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.0,0.0
แม่มาน,แพร่,18.75,11.39,10.29,0.9,0.81,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.61,0.58,0.0
ห้วยน้ำก้อ,เพชรบูรณ์,20.58,12.42,11.61,0.38,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.6,0.59,0.0
แม่ทาน,แพร่,11.4,8.13,6.77,0.03,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.6,0.67,0.0
ห้วยตะโก,บุรีรัมย์,3.25,1.94,1.54,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.6,0.56,0.0
หนองเทวราช,มหาสารคาม,1.606,0.96,0.68,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.51,0.0
คลองกะทูน,นครศรีธรรมราช,70.5,41.86,27.56,0.62,0.69,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.49,0.0
ห้วยสะทด,กาฬสินธุ์,11.66,6.9,6.4,0.71,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.57,0.0
ห้วยใหญ่,ลพบุรี,11.87,7.02,5.99,0.0,0.25,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.55,0.0
ซากนอก,ชลบุรี,7.03,4.16,3.75,0.0,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.57,0.0
ห้วยขี้เหล็ก,ยโสธร,23.7,15.79,13.79,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.64,0.0
ห้วยแม่สูง,สุโขทัย,12.45,7.32,6.28,0.61,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.59,0.55,0.0
ห้วยสะพงน้อย,อุบลราชธานี,14.7,8.58,6.98,0.57,0.09,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.53,0.0
ห้วยขอนแก่น,เพชรบูรณ์,33.22,19.36,16.14,2.61,0.49,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.54,0.0
แม่พริกผาวิ่งชู้,ลำปาง,36.48,21.25,15.41,0.12,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.5,0.0
แม่อาบ,ลำปาง,7.56,4.4,3.86,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.55,0.0
ห้วยติ๊กชู,ศรีสะเกษ,26.2,15.23,12.41,0.07,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.54,0.0
คลองดินแดง,นครศรีธรรมราช,60.0,34.87,21.87,0.11,0.16,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.47,0.0
ห้วยโทห้วยยาง อ.โคกศรีสุพรรณ,สกลนคร,7.75,4.5,3.5,0.27,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.5,0.0
ห้วยผึ้ง,กาฬสินธุ์,4.15,2.4,2.16,0.41,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.58,0.55,0.0
คลองน้ำไหล,กำแพงเพชร,38.5,22.08,21.33,0.24,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.57,0.0
คลองเกลือ,สระแก้ว,5.5,3.14,2.34,0.01,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.5,0.0
ห้วยลอมไผ่,ขอนแก่น,5.6,3.2,2.94,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.55,0.0
เสม็ดจวน,กระบี่,1.7,0.97,0.92,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.0,0.0
ห้วยแม่ท้อ,ตาก,63.0,35.92,32.41,0.28,0.35,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.54,0.0
ห้วยท่าแพ,สุโขทัย,58.0,33.02,24.22,0.71,0.21,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.49,0.0
ลำคันฉู,ชัยภูมิ,42.6,24.19,20.89,0.44,0.2,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.53,0.0
ห้วยมุก,มุกดาหาร,4.259,2.78,2.58,0.16,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.64,0.0
ห้วยตาจู,ศรีสะเกษ,22.28,12.63,10.82,0.11,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.57,0.53,0.0
บางทรายนวล,สุราษฎร์ธานี,2.2,1.24,1.14,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.54,0.0
ห้วยแกง,กาฬสินธุ์,23.325,13.06,12.41,0.22,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.55,0.0
ห้วยไทรงาม,ประจวบคีรีขันธ์,9.5,5.32,4.42,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.51,0.0
ห้วยตะคร้อ,นครราชสีมา,9.5,5.31,4.68,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.53,0.0
คลองพระสทึง,สระแก้ว,65.0,36.31,32.31,0.36,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.53,0.0
ห้วยทรายสว่าง อ.สว่างแดนดิน,สกลนคร,1.1,0.61,0.46,0.03,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.47,0.0
ห้วยเชิง,สุรินทร์,8.0,4.46,4.02,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.53,0.0
บ้านดง,สระบุรี,3.18,1.77,1.52,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.52,0.0
ป่าพะยอม,พัทลุง,20.5,11.41,10.61,0.02,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.54,0.0
คลองหลา,สงขลา,21.42,11.89,11.59,0.05,0.08,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.56,0.54,0.0
ลำฉมวก,นครราชสีมา,23.445,12.98,11.72,0.51,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.53,0.0
ห้วยคล้า,ศรีสะเกษ,3.78,2.09,1.98,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.64,0.0
ห้วยถ้ำแข้,อุบลราชธานี,13.7,7.58,6.73,0.33,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.51,0.0
ห้วยยาง,นครราชสีมา,5.53,3.06,2.76,0.04,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.53,0.0
ห้วยกกคูณ,มุกดาหาร,2.0,1.1,1.02,0.07,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.53,0.0
ห้วยหินแก้ว อ.โพธิ์ตาก,อุดรธานี,4.1,2.21,1.91,0.34,0.36,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.5,0.0
โคกภูใหม่ 2 อ.ภูพาน,สกลนคร,1.0,0.55,0.43,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.49,0.0
ห้วยชัน,ศรีสะเกษ,2.7,1.49,0.82,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.4,0.0
ลำพะยัง(ตอนบน),กาฬสินธุ์,4.137,2.27,2.12,0.1,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.52,0.0
ห้วยพุงใหญ่,ร้อยเอ็ด,7.8,4.29,3.83,0.0,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.52,0.0
ห้วยวังม่วง,นครพนม,1.5,0.82,0.79,0.04,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.54,0.0
ห้วยกุดแดง,ร้อยเอ็ด,2.806,1.53,1.27,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.55,0.51,0.0
คลองสามสิบ,สระแก้ว,5.775,3.15,2.35,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.54,0.51,0.0
ห้วยขี้หิน อ.ภูพาน,กาฬสินธุ์,4.0,2.17,1.63,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.54,0.47,0.0
ใกล้บ้าน,นราธิวาส,3.73,2.02,1.97,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.54,0.54,0.0
บ้านทำนบ,สุรินทร์,12.0,6.43,6.03,0.05,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.54,0.52,0.0
หนองหญ้าม้า,มหาสารคาม,2.558,1.37,1.07,0.01,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.47,0.0
ห้วยนาอ่าง อ.เต่างอย,กาฬสินธุ์,1.82,0.97,0.81,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.49,0.0
บ้านพรุเตย,ตรัง,1.122,0.6,0.12,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.18,0.0
ดอยงู,เชียงราย,7.366,3.91,2.57,0.46,0.58,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.43,0.0
หนองค้อ,ชลบุรี,21.4,11.32,10.32,0.02,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.51,0.0
ห้วยเพลียก,นครราชสีมา,1.5,0.79,0.49,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.41,0.0
คลองท่างิ้ว,ตรัง,18.5,9.75,9.35,0.05,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.53,0.52,0.0
ห้วยขี้เหล็ก (ตอนบน),ยโสธร,1.04,0.62,0.47,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.52,0.53,0.0
มวกเหล็ก,สระบุรี,61.0,31.66,30.56,0.3,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.52,0.51,0.0
ห้วยสะพาน,ชลบุรี,3.84,1.99,1.69,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.52,0.48,0.0
คลองมะนาว,บุรีรัมย์,2.848,1.48,1.03,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.52,0.43,0.0
ลำสำลาย,นครราชสีมา,42.0,21.53,19.53,0.0,0.14,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.51,0.49,0.0
หนองเหล่าหิน,อุบลราชธานี,2.475,1.26,0.9,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.51,0.43,0.0
ห้วยทรวง,สุโขทัย,8.0,4.07,3.67,0.08,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.51,0.48,0.0
ห้วยทราย,ชัยภูมิ,10.3,5.23,3.73,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.51,0.42,0.0
ห้วยสีโท,ยโสธร,10.6,5.37,4.96,0.34,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.51,0.49,0.0
หนองหญ้าม้า,ร้อยเอ็ด,2.117,1.07,0.98,0.0,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.5,0.48,0.0
ห้วยยาง,ขอนแก่น,3.019,1.51,0.98,0.02,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.5,0.39,0.0
ห้วยจอกขวาง,มหาสารคาม,3.036,1.51,1.37,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.5,0.47,0.0
ห้วยสหาย อ.บุ่งคล้า,บึงกาฬ,1.96,0.97,0.83,0.26,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.47,0.0
แม่ธิ,ลำพูน,4.5,2.72,2.57,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.59,0.0
ร่องหัวช้าง,มหาสารคาม,1.29,0.64,-0.12,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,-0.1,0.0
ห้วยมะหาด,ราชบุรี,4.3,2.12,1.9,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.47,0.0
ห้วยไร่,มุกดาหาร,2.8,1.37,1.26,0.07,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.47,0.0
คลองเฉลียงลับ,เพชรบูรณ์,7.85,3.83,3.23,0.1,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.45,0.0
คลองลำกง,เพชรบูรณ์,48.515,23.64,18.84,0.55,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.46,0.0
ห้วยป่าแดง,เพชรบูรณ์,18.74,9.12,9.02,0.15,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.49,0.53,0.0
ห้วยหินแตก อ. พนัสนิคม,สกลนคร,0.0,0.73,0.57,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.0,0.0
บึงอร่าม,มหาสารคาม,3.6,1.74,1.45,0.19,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.44,0.0
มาบประชัน,ชลบุรี,16.6,8.01,7.25,0.01,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.46,0.0
หนองแกดำ,มหาสารคาม,1.625,0.78,0.66,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.44,0.0
ห้วยวังเต็น,ประจวบคีรีขันธ์,11.4,5.47,4.8,0.01,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.45,0.0
ห้วยยาง อ.ภูกระดึง,ขอนแก่น,3.713,1.78,1.06,0.05,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.35,0.0
พุตะเคียน,กาญจนบุรี,4.0,1.9,1.66,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.48,0.44,0.0
คลองสะเดา,สงขลา,56.741,26.93,25.37,0.06,0.26,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.46,0.0
แม่สรวย,เชียงราย,73.0,34.22,31.22,1.02,0.79,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.45,0.0
ห้วยหิน,นครราชสีมา,1.95,0.91,0.86,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.45,0.0
ห้วยตาเกาว์,สุรินทร์,8.6,4.03,3.97,0.11,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.46,0.0
บ้านบึง,ชลบุรี,10.98,5.13,2.31,0.03,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.28,0.0
ลุ่มน้ำโจน 16,ฉะเชิงเทรา,1.6,0.92,0.75,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.47,0.52,0.0
แม่กองค่าย,สุโขทัย,13.0,6.04,5.46,0.04,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.44,0.0
ห้วยป่าบง,กำแพงเพชร,1.4,0.65,0.63,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.46,0.0
ห้วยยาง,นครราชสีมา,13.8,6.4,5.4,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.42,0.0
ห้วยน้ำใส,นครศรีธรรมราช,80.0,36.96,34.96,0.08,0.32,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.45,0.0
ห้วยเตย,ขอนแก่น,5.337,2.44,2.4,0.03,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.48,0.0
ห้วยไม้ดู่,มุกดาหาร,1.7,0.77,0.53,0.02,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.37,0.0
ชัฎป่าหวาย,ราชบุรี,2.5,1.14,0.89,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.46,0.39,0.0
สระสมิง,อุบลราชธานี,1.011,0.46,0.16,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.45,0.22,0.0
ห้วยลิงโจน,ยโสธร,21.0,9.51,9.11,0.07,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.45,0.44,0.0
ห้วยมงคล อันเนื่องมาจากพระราชดำริ,ประจวบคีรีขันธ์,5.85,2.63,2.39,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.45,0.43,0.0
หนองนาวัว,ขอนแก่น,1.391,0.63,0.42,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.45,0.35,0.0
ห้วยเดือนห้า,อุบลราชธานี,12.0,5.34,3.49,0.29,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.45,0.34,0.0
ลำเชียงไกร ตอนล่าง,นครราชสีมา,27.7,12.32,11.17,0.29,0.13,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.44,0.42,0.0
