0,1,2,3,4,5,6,7,9,10,8,3_pct,4_pct,5_pct
แม่ถาง,แพร่,30.62,26.44,23.94,0.06,0.14,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.86,0.85,0.0
ลำพันชาด อ.วังสามหมอ,กาฬสินธุ์,47.0,46.01,40.13,4.83,0.92,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.86,0.98,0.0
ห้วยโทง อ.วานรนิวาส,สกลนคร,7.6,6.46,6.42,0.11,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.85,0.0
ห้วยลึก,กระบี่,2.45,2.08,2.02,0.04,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.85,0.0
คลองกลาง,ปราจีนบุรี,3.1,2.63,2.53,0.05,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.84,0.0
ทับลาน,ปราจีนบุรี,2.725,2.31,1.81,0.05,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.81,0.0
น้ำพรม,ชัยภูมิ,3.434,2.83,2.75,1.17,0.66,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.82,0.0
ลำพันชาดน้อย อ.วังสามหมอ,อุดรธานี,1.9,1.61,1.47,0.23,0.22,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.83,0.0
ห้วยละมืด,อุบลราชธานี,6.7,5.67,5.57,0.21,0.15,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,1.12,0.0
คลองหยา,กระบี่,3.2,2.71,2.67,0.02,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.85,0.84,0.0
แม่ปืม,พะเยา,43.0,42.38,40.73,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.84,0.99,0.0
คลองไม้ปล้อง,ปราจีนบุรี,11.335,9.45,9.34,0.02,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.83,0.83,0.0
แม่ทก,ลำปาง,1.113,0.93,0.87,0.23,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.83,0.82,0.0
บุ่งหมากโมง,นครพนม,2.19,1.81,1.41,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.83,0.8,0.0
แม่เลียง,ลำปาง,6.9,5.69,4.89,0.49,0.44,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.83,0.8,0.0
ห้วยหินลาด,มุกดาหาร,1.7,1.1,0.7,0.03,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.82,0.41,0.0
แม่สอง,แพร่,65.8,53.65,41.05,1.71,1.2,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.82,0.77,0.0
หนองปะโค อ.กุมภวาปี,อุดรธานี,3.076,2.49,1.49,0.03,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.81,0.72,0.0
คลองโสน,ตราด,65.0,52.41,49.93,0.91,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.81,0.8,0.0
คลองสะพานหิน,ตราด,20.0,16.11,15.61,0.13,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.81,0.8,0.0
ห้วยสะกาด,นครราชสีมา,3.578,2.87,2.75,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.8,0.0
