0,1,2,3,4,5,6,8,9
อ่างฯ คลองไพร,กำแพงเพชร,0,11.3 (79%),11.27 (--%),0.23,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ตูบ,ลำพูน,39,30.65 (79%),30.15 (78%),0.17,0.17,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ตีบ,ลำพูน,10,7.84 (78%),7.34 (77%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่จอกหลวง,เชียงใหม่,1.1,0.86 (78%),0.76 (76%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยยางพะไล,นครราชสีมา,13.3,10.39 (78%),9.84 (77%),,0.08,27/08/2025,แหล่งน้ำขนาดกลาง
แม่วะ,แพร่,5.9,4.6 (78%),3.65 (74%),0.34,0.37,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ยาว,ลำปาง,3.48,2.71 (78%),2.43 (76%),0.06,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยซวง อ.วานรนิวาส,สกลนคร,6,4.67 (78%),4.27 (76%),0.05,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยก้านเหลือง อ.ส่องดาว,สกลนคร,5.9,4.58 (78%),4.06 (76%),0.16,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยคันแทใหญ่,มุกดาหาร,0,3.59 (78%),3.58 (--%),,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทรายคำ,ลำปาง,1.248,1.25 (77%),1.10 (99%),0.05,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยมะนาว,เชียงใหม่,4.3,3.31 (77%),3.21 (76%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยทรายตอนบน 1 อ.เมือง,สกลนคร,2.1,1.62 (77%),1.34 (73%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยคำบากน้อย อ.สว่างแดนดิน,อุดรธานี,4,3.07 (77%),2.57 (73%),0.03,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยทรายขมิ้น อ.เมือง,สกลนคร,2.4,2.42 (76%),2.18 (96%),,0.11,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำหมาน อ.เมือง,เลย,26.5,20.15 (76%),18.68 (75%),1.22,0.59,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ธิ,ลำปาง,1.59,1.21 (76%),1.10 (74%),0.04,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่ข้อน,เชียงใหม่,4.08,3.09 (76%),2.74 (73%),0.4,0.42,27/08/2025,แหล่งน้ำขนาดกลาง
โป่งจ้อ,เชียงใหม่,2.6,2.08 (75%),2.03 (80%),0.02,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่แหลงหลวง,เชียงใหม่,3.641,2.73 (75%),2.61 (74%),0.05,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านจรัส,สุรินทร์,15,11.24 (75%),10.74 (74%),0.15,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสามพาด อ.หนองแสง,อุดรธานี,15,13.81 (75%),12.91 (91%),0.8,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบัว,มหาสารคาม,3.58,2.67 (75%),2.18 (71%),0.01,0.01,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำซับคำโรงสี อ. บ้านม่วง,สกลนคร,2,1.49 (75%),0.99 (66%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทะ,ลำปาง,2.54,1.88 (74%),1.64 (71%),0.01,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ปอน,ลำปาง,1.813,1.34 (74%),1.19 (71%),0.07,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยตามาย,ศรีสะเกษ,37.29,27.42 (74%),26.77 (73%),0.08,0.32,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างฯ ห้วยแม่เฉย,อุตรดิตถ์,4,2.93 (73%),2.66 (71%),0.08,0.23,27/08/2025,แหล่งน้ำขนาดกลาง
ภูเพ็ก อ.พรรณานิคม,สกลนคร,2.7,1.98 (73%),1.80 (71%),0.02,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเดื่อ,เชียงใหม่,4.276,3.13 (73%),2.85 (71%),0.03,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
แม่กึ๊ด,ลำปาง,1.3,0.95 (73%),0.79 (69%),0.07,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสีทน,กาฬสินธุ์,3.55,2.59 (73%),2.50 (70%),0.29,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยนา,เพชรบูรณ์,5.65,4.11 (73%),3.51 (70%),0.26,0.13,27/08/2025,แหล่งน้ำขนาดกลาง
แม่สาน,ลำพูน,16,11.57 (72%),10.69 (68%),0.03,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองเพรียว,สระบุรี,7.2,5.2 (72%),5.10 (72%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทก,ลำปาง,1.113,0.8 (72%),0.75 (71%),0.08,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยตู้ 2,ชลบุรี,2.97,2.09 (72%),1.89 (68%),0,0,27/08/2025,แหล่งน้ำขนาดกลาง
มาบฟักทอง 2,ชลบุรี,1.98,1.44 (72%),1.25 (70%),,0,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ต๋ำ,ลำปาง,37,29.88 (72%),27.38 (79%),,0.26,27/08/2025,แหล่งน้ำขนาดกลาง
